Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-DK-A1A6-10A-01D-A13V-01	1	3218610	247813706	128988	-0.0029
TCGA-DK-A1A6-10A-01D-A13V-01	2	484222	242476062	131151	-3e-04
TCGA-DK-A1A6-10A-01D-A13V-01	3	2212571	197538677	106255	8e-04
TCGA-DK-A1A6-10A-01D-A13V-01	4	1053934	188763651	102639	-4e-04
TCGA-DK-A1A6-10A-01D-A13V-01	5	914233	106361340	55493	0
TCGA-DK-A1A6-10A-01D-A13V-01	5	106363192	106370006	5	-1.0146
TCGA-DK-A1A6-10A-01D-A13V-01	5	106373339	180360469	44890	0.0023
TCGA-DK-A1A6-10A-01D-A13V-01	6	1014281	170903919	96380	0.0016
TCGA-DK-A1A6-10A-01D-A13V-01	7	705284	158385118	81252	0.0025
TCGA-DK-A1A6-10A-01D-A13V-01	8	617667	145232496	81448	0.0056
TCGA-DK-A1A6-10A-01D-A13V-01	9	789932	5423103	3266	0.0058
TCGA-DK-A1A6-10A-01D-A13V-01	9	5564748	5565601	2	-1.5889
TCGA-DK-A1A6-10A-01D-A13V-01	9	5566130	138070682	63875	0.0019
TCGA-DK-A1A6-10A-01D-A13V-01	9	138074372	138075424	4	-1.0951
TCGA-DK-A1A6-10A-01D-A13V-01	9	138080218	140938752	799	0.0093
TCGA-DK-A1A6-10A-01D-A13V-01	10	415240	135225087	80782	0.0013
TCGA-DK-A1A6-10A-01D-A13V-01	11	456120	134142530	77161	-0.0026
TCGA-DK-A1A6-10A-01D-A13V-01	12	889902	133161346	73867	-0.0034
TCGA-DK-A1A6-10A-01D-A13V-01	13	19450806	114987458	56568	-0.0019
TCGA-DK-A1A6-10A-01D-A13V-01	14	20501368	104303694	48941	6e-04
TCGA-DK-A1A6-10A-01D-A13V-01	14	104305657	104309395	7	-0.9408
TCGA-DK-A1A6-10A-01D-A13V-01	14	104319882	105988038	449	-0.0061
TCGA-DK-A1A6-10A-01D-A13V-01	15	23687685	101884307	44490	-0.0022
TCGA-DK-A1A6-10A-01D-A13V-01	16	653459	89379936	40753	0.0037
TCGA-DK-A1A6-10A-01D-A13V-01	17	987221	10342378	4794	-0.0017
TCGA-DK-A1A6-10A-01D-A13V-01	17	10348148	10357281	5	-0.8806
TCGA-DK-A1A6-10A-01D-A13V-01	17	10358938	39047077	10964	0.0018
TCGA-DK-A1A6-10A-01D-A13V-01	17	39048774	39052521	3	-1.3064
TCGA-DK-A1A6-10A-01D-A13V-01	17	39053516	80845689	21131	0.0017
TCGA-DK-A1A6-10A-01D-A13V-01	17	80846516	80848724	2	-1.9085
TCGA-DK-A1A6-10A-01D-A13V-01	17	80852888	80917016	51	0.0466
TCGA-DK-A1A6-10A-01D-A13V-01	18	329586	77109240	42611	0.0019
TCGA-DK-A1A6-10A-01D-A13V-01	19	284018	58878226	23930	0.0014
TCGA-DK-A1A6-10A-01D-A13V-01	20	455764	62219837	37234	0.0014
TCGA-DK-A1A6-10A-01D-A13V-01	21	15347621	47678774	20559	-0.0021
TCGA-DK-A1A6-10A-01D-A13V-01	22	17423930	49331012	16911	-0.0014
TCGA-DK-A1A6-10A-01D-A13V-01	23	3157107	37498403	15158	0.0071
TCGA-DK-A1A6-10A-01D-A13V-01	23	37499185	37503140	3	-2.3697
TCGA-DK-A1A6-10A-01D-A13V-01	23	37503705	53326416	6834	-0.0461
TCGA-DK-A1A6-10A-01D-A13V-01	23	53329948	53332431	3	-1.9187
TCGA-DK-A1A6-10A-01D-A13V-01	23	53332472	154905589	41490	0.0088
