Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-DK-A1A6-06A-11D-A42D-01	1	3218610	31883475	14996	-0.0784
TCGA-DK-A1A6-06A-11D-A42D-01	1	31884180	31908169	11	1.04
TCGA-DK-A1A6-06A-11D-A42D-01	1	31909072	32165668	137	1.4392
TCGA-DK-A1A6-06A-11D-A42D-01	1	32168863	32595616	180	1.0578
TCGA-DK-A1A6-06A-11D-A42D-01	1	32598190	33004455	140	0.0948
TCGA-DK-A1A6-06A-11D-A42D-01	1	33008483	33079507	25	0.5664
TCGA-DK-A1A6-06A-11D-A42D-01	1	33080715	38915251	3240	-0.2518
TCGA-DK-A1A6-06A-11D-A42D-01	1	38915822	54861540	8375	0.1885
TCGA-DK-A1A6-06A-11D-A42D-01	1	54861645	57645519	2075	-0.2167
TCGA-DK-A1A6-06A-11D-A42D-01	1	57646055	97286187	24908	0.0446
TCGA-DK-A1A6-06A-11D-A42D-01	1	97286347	97286510	4	-1.032
TCGA-DK-A1A6-06A-11D-A42D-01	1	97288899	201884668	45200	0.0414
TCGA-DK-A1A6-06A-11D-A42D-01	1	201884815	201884902	2	-1.7032
TCGA-DK-A1A6-06A-11D-A42D-01	1	201886402	226491228	15769	0.0472
TCGA-DK-A1A6-06A-11D-A42D-01	1	226491656	226491662	2	-1.1199
TCGA-DK-A1A6-06A-11D-A42D-01	1	226494515	236409273	6395	0.0287
TCGA-DK-A1A6-06A-11D-A42D-01	1	236409413	237358233	800	0.278
TCGA-DK-A1A6-06A-11D-A42D-01	1	237358341	247813706	6450	0.0323
TCGA-DK-A1A6-06A-11D-A42D-01	2	484222	5244422	2355	0.2319
TCGA-DK-A1A6-06A-11D-A42D-01	2	5245837	5245882	2	-0.8369
TCGA-DK-A1A6-06A-11D-A42D-01	2	5249686	8447979	2331	0.237
TCGA-DK-A1A6-06A-11D-A42D-01	2	8454703	10055924	1064	0.554
TCGA-DK-A1A6-06A-11D-A42D-01	2	10056518	20714957	7286	0.268
TCGA-DK-A1A6-06A-11D-A42D-01	2	20717515	20908965	140	0.5428
TCGA-DK-A1A6-06A-11D-A42D-01	2	20909502	97713135	37659	0.1897
TCGA-DK-A1A6-06A-11D-A42D-01	2	97713773	101612615	1963	1.1216
TCGA-DK-A1A6-06A-11D-A42D-01	2	101614322	103375992	1092	0.749
TCGA-DK-A1A6-06A-11D-A42D-01	2	103380874	157826951	28512	0.0586
TCGA-DK-A1A6-06A-11D-A42D-01	2	157827482	164302967	3664	0.6445
TCGA-DK-A1A6-06A-11D-A42D-01	2	164305030	164305412	6	0.1261
TCGA-DK-A1A6-06A-11D-A42D-01	2	164310877	164801400	289	0.8006
TCGA-DK-A1A6-06A-11D-A42D-01	2	164804617	164925101	73	1.0583
TCGA-DK-A1A6-06A-11D-A42D-01	2	164928490	165324532	210	0.7839
TCGA-DK-A1A6-06A-11D-A42D-01	2	165329104	165388812	34	0.2174
TCGA-DK-A1A6-06A-11D-A42D-01	2	165391702	242476062	44241	-0.207
TCGA-DK-A1A6-06A-11D-A42D-01	3	2212571	41914188	23728	0.5145
TCGA-DK-A1A6-06A-11D-A42D-01	3	42217863	42350487	110	-0.4166
TCGA-DK-A1A6-06A-11D-A42D-01	3	42350808	42352067	2	-2.5726
TCGA-DK-A1A6-06A-11D-A42D-01	3	42355114	65738464	13187	-0.4105
TCGA-DK-A1A6-06A-11D-A42D-01	3	65738859	65880607	123	-0.1011
TCGA-DK-A1A6-06A-11D-A42D-01	3	65881273	68377810	1468	-0.4007
TCGA-DK-A1A6-06A-11D-A42D-01	3	68378853	68379402	5	-1.8859
TCGA-DK-A1A6-06A-11D-A42D-01	3	68381793	82337711	8378	-0.3992
TCGA-DK-A1A6-06A-11D-A42D-01	3	82339880	90394583	3754	0.5211
TCGA-DK-A1A6-06A-11D-A42D-01	3	90417948	197538677	55277	0.1647
TCGA-DK-A1A6-06A-11D-A42D-01	4	1053934	20345099	11805	0.1369
TCGA-DK-A1A6-06A-11D-A42D-01	4	20350248	20849761	293	0.4985
TCGA-DK-A1A6-06A-11D-A42D-01	4	20850761	41341105	12588	0.1516
TCGA-DK-A1A6-06A-11D-A42D-01	4	41343193	79515737	18340	-0.0855
TCGA-DK-A1A6-06A-11D-A42D-01	4	79516317	79516445	2	1.258
TCGA-DK-A1A6-06A-11D-A42D-01	4	79519209	93445900	7936	-0.0729
TCGA-DK-A1A6-06A-11D-A42D-01	4	93446047	93447869	2	-1.617
TCGA-DK-A1A6-06A-11D-A42D-01	4	93447869	188763651	51436	-0.0748
TCGA-DK-A1A6-06A-11D-A42D-01	5	914233	14576344	9401	-0.0996
TCGA-DK-A1A6-06A-11D-A42D-01	5	14580576	15353942	460	-0.8032
TCGA-DK-A1A6-06A-11D-A42D-01	5	15354008	106361340	45505	-0.0806
TCGA-DK-A1A6-06A-11D-A42D-01	5	106363192	106370006	5	-1.0195
