Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-DK-A1A6-01A-11D-A13V-01	1	3218610	14449771	5840	-0.1329
TCGA-DK-A1A6-01A-11D-A13V-01	1	14450545	14453003	2	-1.9378
TCGA-DK-A1A6-01A-11D-A13V-01	1	14455748	31677633	9063	-0.1137
TCGA-DK-A1A6-01A-11D-A13V-01	1	31682380	31736123	40	-0.5576
TCGA-DK-A1A6-01A-11D-A13V-01	1	31740706	31750640	4	0.1843
TCGA-DK-A1A6-01A-11D-A13V-01	1	31751191	31829873	35	0.4681
TCGA-DK-A1A6-01A-11D-A13V-01	1	31832773	32252805	223	0.6819
TCGA-DK-A1A6-01A-11D-A13V-01	1	32253305	33264078	385	-0.1533
TCGA-DK-A1A6-01A-11D-A13V-01	1	33266475	70425743	22506	-0.5632
TCGA-DK-A1A6-01A-11D-A13V-01	1	70428611	70682550	150	-0.1713
TCGA-DK-A1A6-01A-11D-A13V-01	1	70684272	72047034	685	-0.5553
TCGA-DK-A1A6-01A-11D-A13V-01	1	72049673	72049987	3	0.3533
TCGA-DK-A1A6-01A-11D-A13V-01	1	72051206	81944199	5614	0.9983
TCGA-DK-A1A6-01A-11D-A13V-01	1	81944381	97286187	9619	0.4972
TCGA-DK-A1A6-01A-11D-A13V-01	1	97286347	97286510	4	-0.7441
TCGA-DK-A1A6-01A-11D-A13V-01	1	97288899	98121726	490	0.4413
TCGA-DK-A1A6-01A-11D-A13V-01	1	98127066	230603822	63165	-0.1162
TCGA-DK-A1A6-01A-11D-A13V-01	1	230606103	230606178	2	-1.4932
TCGA-DK-A1A6-01A-11D-A13V-01	1	230614110	236395361	3897	-0.1227
TCGA-DK-A1A6-01A-11D-A13V-01	1	236395853	237358233	805	0.2568
TCGA-DK-A1A6-01A-11D-A13V-01	1	237358341	245040680	5262	-0.1373
TCGA-DK-A1A6-01A-11D-A13V-01	1	245044852	245067411	12	-0.7324
TCGA-DK-A1A6-01A-11D-A13V-01	1	245071985	247812431	1196	-0.1085
TCGA-DK-A1A6-01A-11D-A13V-01	2	484222	8551830	4784	0.1773
TCGA-DK-A1A6-01A-11D-A13V-01	2	8554053	8554141	2	-1.183
TCGA-DK-A1A6-01A-11D-A13V-01	2	8554600	12018120	2305	0.1981
